FactSchema Name,Item ID,Item Type,Hierarchy,Conformed Hierarchy,Conformed Hierarchy Attribute,Item Name,From Item ID,To Item ID,Description,Sample Values,Notes,Is Multiple,Is Optional,Is Shared,Is Descriptive,Is Cross Dimensional,Is Convergence,Temporal Scenario,Source Table,Source Field,Logical Name,SQL Type,Length,Precision,Scale
Historical Order,Customer_Area,Attribute,Customer,Customer,Area,Area,Customer_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Historical Order,,Arc,,,,,Time_Semester,Time_Year,,,,False,False,,,,,,,,,,,,
Historical Order,,Arc,,,,,Time_4-Month Period,Time_Year,,,,False,False,,,,,,,,,,,,
Invoice,Product_Subtype,Attribute,Product,Product,Subtype,Subtype,Product_SKU,,A classification of products,"Lady Sports Multipurpose Footwear, Lady Sandals Casual Footwear, Man Leathers Formal Footwear",,,False,False,False,False,False,UpToDate,,,SUBTYPE,VARCHAR,255,,
Invoice,Goods On Delivery_Goods On Delivery,Attribute,Goods On Delivery,,,Goods On Delivery,,,Whether the good is being delivered,"Y, N",,,False,False,False,False,False,UpToDate,,,GOODS_ON_DELIVERY,VARCHAR,255,,
Invoice,shipping_Customer,Attribute,shipping,Customer,Customer,Customer,,,The buying customer,"Holding1, Holding2 ",,,False,True,False,False,False,UpToDate,,,CUSTOMER,VARCHAR,255,,
Invoice,Season_Season,Attribute,Season,,,Season,FACT,,The collection of goods,"FW12, SS13, FW13",,,False,False,False,False,False,UpToDate,,,SEASON,VARCHAR,255,,
Invoice,Time_Date,Attribute,Time,Time,Date,Date,FACT,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,False,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Invoice,Time_Month In Year,Attribute,Time,Time,Month In Year,Month In Year,Time_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Invoice,Time_Year,Attribute,Time,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Invoice,Time_Week,Attribute,Time,Time,Week,Week,Time_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Invoice,Return Justification_Return Justification,Attribute,Return Justification,,,Return Justification,,,The reason for which the goods are returned back,"Shipping Error, Wrong Goods, Dead Stock, Outdate Stock, Flawed Goods",,,False,False,False,False,False,UpToDate,,,RETURN_JUSTIFICATION,VARCHAR,255,,
Invoice,Currency_Currency,Attribute,Currency,,,Currency,FACT,,The currency used for invoicing,"USD, EUR, JPY, GBP, CAD",,,False,False,False,False,False,UpToDate,,,CURRENCY,VARCHAR,255,,
Invoice,Product_Type,Attribute,Product,Product,Type,Type,Product_Subtype,,A classification of products,"Coats, casual, suits",,,False,False,False,False,False,UpToDate,,,TYPE,VARCHAR,255,,
Invoice,Product_Customer Type,Attribute,Product,Product,Customer Type,Customer Type,Product_Subtype,,The type of customer the product is targeted to,"Junior, baby, adult",,,False,False,False,False,False,UpToDate,,,CUSTOMER_TYPE,VARCHAR,255,,
Invoice,Product_Customer Gender,Attribute,Product,Product,Customer Gender,Customer Gender,Product_SKU,,The gender the product is targeted to,"Male, female, unisex",,,False,False,False,False,False,UpToDate,,,CUSTOMER_GENDER,VARCHAR,255,,
Invoice,Product_Category,Attribute,Product,Product,Category,Category,Product_Type,,A classification of products,"Footwear, apparel, accessories",,,False,False,False,False,False,UpToDate,,,CATEGORY,VARCHAR,255,,
Invoice,Product_SKU,Attribute,Product,Product,SKU,SKU,FACT,,Stock keeping unit,"Sneakers British Knight Leather Red M, Sneakers British Knight Suede Brown XL, Sneakers Sporty Lady Faux Leather White S","These attributes include, but are not limited to, product description, material, color, size.
Can also refer to a unique identifier or code that refers to the particular stock keeping unit",,False,False,False,False,False,UpToDate,,,SKU,VARCHAR,255,,
Invoice,shipping_Billing Information,Attribute,shipping,Customer,Billing Information,Billing Information,shipping_Customer,,The specific data needed for billing a customer,,,,False,False,True,False,False,UpToDate,,,BILLING_INFORMATION,VARCHAR,255,,
Invoice,Agent_Agent,Attribute,Agent,Agent,Agent,Agent,FACT,,A salesman who covers a geographic area ,"Michael Baldi, John Carrie, Steve Gorini","This hierarchy includes agents and derived agents.
The connection between Agent and Area Manager is maintained by a procedure on the DW",,False,False,False,False,False,UpToDate,,,AGENT,VARCHAR,255,,
Invoice,Agent_Area Manager,Attribute,Agent,Agent,Area Manager,Area Manager,Agent_Agent,,An agent who manages and coordinates other agents,"Mark White, John Green",,,False,False,False,False,False,UpToDate,,,AREA_MANAGER,VARCHAR,255,,
Invoice,Profit Center_Profit Center,Attribute,Profit Center,,,Profit Center,,,A part of the company that directly adds the sale to its profits,,Revenues and expenses are held separate from the main company's in order to determine their profitability,,False,False,False,False,False,UpToDate,,,PROFIT_CENTER,VARCHAR,255,,
Invoice,Virtual Warehouse_Virtual Warehouse,Attribute,Virtual Warehouse,,,Virtual Warehouse,,,Goods in shipping status,Y/N,,,False,False,False,False,False,UpToDate,,,VIRTUAL_WAREHOUSE,VARCHAR,255,,
Invoice,Doc Type_Doc Type,Attribute,Doc Type,,,Doc Type,,,The document type,"Deposit, shipped, ticket",,,False,False,False,False,False,UpToDate,,,DOC_TYPE,VARCHAR,255,,
Invoice,Time_Quarter,Attribute,Time,Time,Quarter,Quarter,Time_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Invoice,Time_Semester,Attribute,Time,Time,Semester,Semester,Time_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Invoice,shipping_City,Attribute,shipping,Customer,City,City,shipping_Customer,,A specific city or town,"Rome, London, Miami",,,False,False,False,False,False,UpToDate,,,CITY,VARCHAR,255,,
Invoice,shipping_County,Attribute,shipping,Customer,County,County,shipping_City,,The county where a city belongs (if specified),"Monterey, Orange",,,True,False,False,False,False,UpToDate,,,COUNTY,VARCHAR,255,,
Invoice,shipping_State,Attribute,shipping,Customer,State,State,shipping_County,,The state where a city belongs (for USA only),"Florida, California",,,True,False,False,False,False,UpToDate,,,STATE,VARCHAR,255,,
Invoice,shipping_Country,Attribute,shipping,Customer,Country,Country,shipping_State,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
Invoice,shipping_Shipping Address,Attribute,shipping,Customer,Shipping Address,Shipping Address,shipping_Customer,,The shipping address of a customer,,,,False,False,True,False,False,UpToDate,,,SHIPPING_ADDRESS,VARCHAR,255,,
Invoice,Time_4-Month Period,Attribute,Time,Time,4-Month Period,4-Month Period,Time_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Invoice,Product_Size,Attribute,Product,Product,Size,Size,Product_SKU,,The size of the product,"S, M, L, XL",,,False,False,False,False,False,UpToDate,,,SIZE,VARCHAR,255,,
Invoice,Product_Color,Attribute,Product,Product,Color,Color,Product_SKU,,The specific color of the product,"Dark blu, light blu",,,False,False,False,False,False,UpToDate,,,COLOR,VARCHAR,255,,
Invoice,shipping_Area,Attribute,shipping,Customer,Area,Area,shipping_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Invoice,Product_Macro Color,Attribute,Product,Product,Macro Color,Macro Color,Product_Color,,A group of colors,"Blu, red",,,False,False,False,False,False,UpToDate,,,MACRO_COLOR,VARCHAR,255,,
Invoice,Product_Age Range,Attribute,Product,Product,Age Range,Age Range,Product_Customer Type,,,"1-5, 6-10, 11-16",,,False,False,True,False,False,UpToDate,,,AGE_RANGE,VARCHAR,255,,
Invoice,Product_Brand,Attribute,Product,Product,Brand,Brand,Product_SKU,,The brand of the product,,,,False,False,False,False,False,UpToDate,,,BRAND,VARCHAR,255,,
Invoice,Product_Brand Group,Attribute,Product,Product,Brand Group,Brand Group,Product_Brand,,A group of brands,,,,False,False,False,False,False,UpToDate,,,BRAND_GROUP,VARCHAR,255,,
Invoice,Time_Month,Attribute,Time,Time,Month,Month,Time_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Invoice,Product_Made In,Attribute,Product,Product,Made In,Made In,Product_SKU,,The country where the product has been manufactured,"China, Korea",,,False,False,False,False,False,UpToDate,,,MADE_IN,VARCHAR,255,,
Invoice,Agent_Controller,Attribute,Agent,Agent,Controller,Controller,,,Agent supervisors who periodically check agents on a random basis,,,,False,False,False,False,False,UpToDate,,,CONTROLLER,VARCHAR,255,,
Invoice,,Arc,,,,,FACT,Goods On Delivery_Goods On Delivery,,,,False,True,,,,,,,,,,,,
Invoice,,Arc,,,,shipping,FACT,shipping_Customer,,,,False,False,,,,,,,,,,,,
Invoice,,Arc,,,,,FACT,Return Justification_Return Justification,,,,False,True,,,,,,,,,,,,
Invoice,,Arc,,,,,FACT,Profit Center_Profit Center,,,,False,True,,,,,,,,,,,,
Invoice,,Arc,,,,,FACT,Virtual Warehouse_Virtual Warehouse,,,,False,True,,,,,,,,,,,,
Invoice,,Arc,,,,,FACT,Doc Type_Doc Type,,,,False,True,,,,,,,,,,,,
Invoice,,Arc,,,,billing,FACT,shipping_Customer,,,,False,False,,,,,,,,,,,,
Invoice,,Arc,,,,,Time_Semester,Time_Year,,,,False,False,,,,,,,,,,,,
Invoice,,Arc,,,,,Time_4-Month Period,Time_Year,,,,False,False,,,,,,,,,,,,
Invoice,,Arc,,,,,Agent_Agent,Agent_Controller,,,,True,False,,,,,,,,,,,,
Order,Agent_Agent,Attribute,Agent,Agent,Agent,Agent,FACT,,A salesman who covers a geographic area ,"Michael Baldi, John Carrie, Steve Gorini","This hierarchy includes agents and derived agents.
The connection between Agent and Area Manager is maintained by a procedure on the DW",,False,False,False,False,False,UpToDate,,,AGENT,VARCHAR,255,,
Order,Agent_Area Manager,Attribute,Agent,Agent,Area Manager,Area Manager,Agent_Agent,,An agent who manages and coordinates other agents,"Mark White, John Green",,,False,False,False,False,False,UpToDate,,,AREA_MANAGER,VARCHAR,255,,
Order,Product_Subtype,Attribute,Product,Product,Subtype,Subtype,Product_SKU,,A classification of products,"Lady Sports Multipurpose Footwear, Lady Sandals Casual Footwear, Man Leathers Formal Footwear",,,False,False,False,False,False,UpToDate,,,SUBTYPE,VARCHAR,255,,
Order,Merchandise Type_Merchandise Type,Attribute,Merchandise Type,,,Merchandise Type,FACT,,"It includes disciplines and discounting, physical presentation of products and displays, and the decisions about which products should be presented to which customers at what time.","Football UK Teams, Disney Toons, Far West Men wears ",,,False,False,False,False,False,UpToDate,,,MERCHANDISE_TYPE,VARCHAR,255,,
Order,Season_Season,Attribute,Season,,,Season,FACT,,The collection of goods,"FW12, SS13, FW13",,,False,False,False,False,False,UpToDate,,,SEASON,VARCHAR,255,,
Order,Time_Date,Attribute,Time,Time,Date,Date,FACT,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,False,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Order,Time_Month In Year,Attribute,Time,Time,Month In Year,Month In Year,Time_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Order,Time_Year,Attribute,Time,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Order,Time_Week,Attribute,Time,Time,Week,Week,Time_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Order,Order Type_Order Type,Attribute,Order Type,,,Order Type,FACT,,Conditions on how the order is executed,"Market order, limit order, stop order","Limit Order: This is an order that executes at a specific price that you set (or better) and can be open for a specific time period

Stop Orders: This is a market order that is triggered once your stock reaches a specific target price, the stop price.

Stop Limit Order: This is identical to the stop order, except for the fact that a limit order is triggered once your stock reaches a specific target price",,False,False,False,False,False,UpToDate,,,ORDER_TYPE,VARCHAR,255,,
Order,Currency_Currency,Attribute,Currency,,,Currency,FACT,,The currency used for billing,"USD, EUR, JPY, GBP, CAD",,,False,False,False,False,False,UpToDate,,,CURRENCY,VARCHAR,255,,
Order,Product_Type,Attribute,Product,Product,Type,Type,Product_Subtype,,A classification of products,"Coats, casual, suits",,,False,False,False,False,False,UpToDate,,,TYPE,VARCHAR,255,,
Order,Product_Customer Type,Attribute,Product,Product,Customer Type,Customer Type,Product_Subtype,,The type of customer the product is targeted to,"Junior, baby, adult",,,False,False,False,False,False,UpToDate,,,CUSTOMER_TYPE,VARCHAR,255,,
Order,Product_Customer Gender,Attribute,Product,Product,Customer Gender,Customer Gender,Product_SKU,,The gender the product is targeted to,"Male, female, unisex",,,False,False,False,False,False,UpToDate,,,CUSTOMER_GENDER,VARCHAR,255,,
Order,Product_Category,Attribute,Product,Product,Category,Category,Product_Type,,A classification of products,"Footwear, apparel, accessories",,,False,False,False,False,False,UpToDate,,,CATEGORY,VARCHAR,255,,
Order,Product_SKU,Attribute,Product,Product,SKU,SKU,FACT,,Stock keeping unit,"Sneakers British Knight Leather Red M, Sneakers British Knight Suede Brown XL, Sneakers Sporty Lady Faux Leather White S","These attributes include, but are not limited to, product description, material, color, size.
Can also refer to a unique identifier or code that refers to the particular stock keeping unit",,False,False,False,False,False,UpToDate,,,SKU,VARCHAR,255,,
Order,Customer_Customer,Attribute,Customer,Customer,Customer,Customer,FACT,,The buying customer,"Holding1, Holding2 ",,,False,False,False,False,False,UpToDate,,,CUSTOMER,VARCHAR,255,,
Order,Customer_Billing Information,Attribute,Customer,Customer,Billing Information,Billing Information,Customer_Customer,,The specific data needed for billing a customer,,,,False,False,True,False,False,UpToDate,,,BILLING_INFORMATION,VARCHAR,255,,
Order,Time_Quarter,Attribute,Time,Time,Quarter,Quarter,Time_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Order,Time_Semester,Attribute,Time,Time,Semester,Semester,Time_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Order,Customer_City,Attribute,Customer,Customer,City,City,Customer_Customer,,A specific city or town,"Rome, London, Miami",,,False,False,False,False,False,UpToDate,,,CITY,VARCHAR,255,,
Order,Customer_County,Attribute,Customer,Customer,County,County,Customer_City,,The county where a city belongs (if specified),"Monterey, Orange",,,True,False,False,False,False,UpToDate,,,COUNTY,VARCHAR,255,,
Order,Customer_State,Attribute,Customer,Customer,State,State,Customer_County,,The state where a city belongs (for USA only),"Florida, California",,,True,False,False,False,False,UpToDate,,,STATE,VARCHAR,255,,
Order,Customer_Country,Attribute,Customer,Customer,Country,Country,Customer_State,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
Order,Customer_Shipping Address,Attribute,Customer,Customer,Shipping Address,Shipping Address,Customer_Customer,,The shipping address of a customer,,,,False,False,True,False,False,UpToDate,,,SHIPPING_ADDRESS,VARCHAR,255,,
Order,Time_4-Month Period,Attribute,Time,Time,4-Month Period,4-Month Period,Time_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Order,Product_Size,Attribute,Product,Product,Size,Size,Product_SKU,,The size of the product,"S, M, L, XL",,,False,False,False,False,False,UpToDate,,,SIZE,VARCHAR,255,,
Order,Product_Color,Attribute,Product,Product,Color,Color,Product_SKU,,The specific color of the product,"Dark blu, light blu",,,False,False,False,False,False,UpToDate,,,COLOR,VARCHAR,255,,
Order,Customer_Area,Attribute,Customer,Customer,Area,Area,Customer_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Order,Product_Macro Color,Attribute,Product,Product,Macro Color,Macro Color,Product_Color,,A group of colors,"Blu, red",,,False,False,False,False,False,UpToDate,,,MACRO_COLOR,VARCHAR,255,,
Order,Product_Age Range,Attribute,Product,Product,Age Range,Age Range,Product_Customer Type,,,"1-5, 6-10, 11-16",,,False,False,True,False,False,UpToDate,,,AGE_RANGE,VARCHAR,255,,
Order,Product_Brand,Attribute,Product,Product,Brand,Brand,Product_SKU,,The brand of the product,,,,False,False,False,False,False,UpToDate,,,BRAND,VARCHAR,255,,
Order,Product_Brand Group,Attribute,Product,Product,Brand Group,Brand Group,Product_Brand,,A group of brands,,,,False,False,False,False,False,UpToDate,,,BRAND_GROUP,VARCHAR,255,,
Order,Time_Month,Attribute,Time,Time,Month,Month,Time_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Order,Product_Made In,Attribute,Product,Product,Made In,Made In,Product_SKU,,The country where the product has been manufactured,"China, Korea",,,False,False,False,False,False,UpToDate,,,MADE_IN,VARCHAR,255,,
Order,Agent_Controller,Attribute,Agent,Agent,Controller,Controller,,,Agent supervisors who periodically check agents on a random basis,,,,False,False,False,False,False,UpToDate,,,CONTROLLER,VARCHAR,255,,
Order,,Arc,,,,,Time_Semester,Time_Year,,,,False,False,,,,,,,,,,,,
Order,,Arc,,,,,Time_4-Month Period,Time_Year,,,,False,False,,,,,,,,,,,,
Order,,Arc,,,,,Agent_Agent,Agent_Controller,,,,True,False,,,,,,,,,,,,
Shop Ticket,Season_Season,Attribute,Season,,,Season,FACT,,The collection of goods,"FW12, SS13, FW13",,,False,False,False,False,False,UpToDate,,,SEASON,VARCHAR,255,,
Shop Ticket,Time_Date,Attribute,Time,Time,Date,Date,FACT,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,False,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Shop Ticket,Time_Month In Year,Attribute,Time,Time,Month In Year,Month In Year,Time_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Shop Ticket,Time_Year,Attribute,Time,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Shop Ticket,Time_Week,Attribute,Time,Time,Week,Week,Time_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Shop Ticket,Currency_Currency,Attribute,Currency,,,Currency,FACT,,The currency used for buying,"USD, EUR, JPY, GBP, CAD",,,False,False,False,False,False,UpToDate,,,CURRENCY,VARCHAR,255,,
Shop Ticket,Agent_Agent,Attribute,Agent,Agent,Agent,Agent,FACT,,A salesman who covers a geographic area ,"Michael Baldi, John Carrie, Steve Gorini","This hierarchy includes agents and derived agents.
The connection between Agent and Area Manager is maintained by a procedure on the DW",,False,False,False,False,False,UpToDate,,,AGENT,VARCHAR,255,,
Shop Ticket,Agent_Area Manager,Attribute,Agent,Agent,Area Manager,Area Manager,Agent_Agent,,An agent who manages and coordinates other agents,"Mark White, John Green",,,False,False,False,False,False,UpToDate,,,AREA_MANAGER,VARCHAR,255,,
Shop Ticket,Store_Store,Attribute,Store,Store,Store,Store,FACT,,The store where a product is being sold,,,,False,False,False,False,False,UpToDate,,,STORE,VARCHAR,255,,
Shop Ticket,Time_Quarter,Attribute,Time,Time,Quarter,Quarter,Time_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Shop Ticket,Time_Semester,Attribute,Time,Time,Semester,Semester,Time_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Shop Ticket,Store_IsConnected,Attribute,Store,Store,IsConnected,IsConnected,Store_Store,,Whether the store is connected to Internet or not,"Y, N",,,False,False,False,False,False,UpToDate,,,ISCONNECTED,VARCHAR,255,,
Shop Ticket,Store_Location Type,Attribute,Store,Store,Location Type,Location Type,Store_Store,,The environment where the store is located,"Old Town, Mall, Highway shopping center",,,False,False,False,False,False,UpToDate,,,LOCATION_TYPE,VARCHAR,255,,
Shop Ticket,Store_City,Attribute,Store,Store,City,City,Store_Store,,A specific city or town,"Rome, London, Miami",,,False,False,False,False,False,UpToDate,,,CITY,VARCHAR,255,,
Shop Ticket,Store_County,Attribute,Store,Store,County,County,Store_City,,The county where a city belongs (if specified),"Monterey, Orange",,,True,False,False,False,False,UpToDate,,,COUNTY,VARCHAR,255,,
Shop Ticket,Store_State,Attribute,Store,Store,State,State,Store_County,,The state where a city belongs (for USA only),"Florida, California",,,True,False,False,False,False,UpToDate,,,STATE,VARCHAR,255,,
Shop Ticket,Store_Country,Attribute,Store,Store,Country,Country,Store_State,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
Shop Ticket,Store_Address,Attribute,Store,Store,Address,Address,Store_Store,,,,,,False,False,True,False,False,UpToDate,,,ADDRESS,VARCHAR,255,,
Shop Ticket,Time_4-Month Period,Attribute,Time,Time,4-Month Period,4-Month Period,Time_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Shop Ticket,Store_Area,Attribute,Store,Store,Area,Area,Store_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Shop Ticket,Store_Sales District,Attribute,Store,Store,Sales District,Sales District,Store_Store,,A geography-based grouping of stores,,,,False,False,False,False,False,UpToDate,,,SALES_DISTRICT,VARCHAR,255,,
Shop Ticket,Time_Month,Attribute,Time,Time,Month,Month,Time_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Shop Ticket,Product_SKU,Attribute,Product,Product,SKU,SKU,FACT,,Stock keeping unit,"Sneakers British Knight Leather Red M, Sneakers British Knight Suede Brown XL, Sneakers Sporty Lady Faux Leather White S","These attributes include, but are not limited to, product description, material, color, size.
Can also refer to a unique identifier or code that refers to the particular stock keeping unit",,False,False,False,False,False,UpToDate,,,SKU,VARCHAR,255,,
Shop Ticket,Product_Subtype,Attribute,Product,Product,Subtype,Subtype,Product_SKU,,A classification of products,"Lady Sports Multipurpose Footwear, Lady Sandals Casual Footwear, Man Leathers Formal Footwear",,,False,False,False,False,False,UpToDate,,,SUBTYPE,VARCHAR,255,,
Shop Ticket,Product_Type,Attribute,Product,Product,Type,Type,Product_Subtype,,A classification of products,"Coats, casual, suits",,,False,False,False,False,False,UpToDate,,,TYPE,VARCHAR,255,,
Shop Ticket,Product_Category,Attribute,Product,Product,Category,Category,Product_Type,,A classification of products,"Footwear, apparel, accessories",,,False,False,False,False,False,UpToDate,,,CATEGORY,VARCHAR,255,,
Shop Ticket,Product_Customer Type,Attribute,Product,Product,Customer Type,Customer Type,Product_Subtype,,The type of customer the product is targeted to,"Junior, baby, adult",,,False,False,False,False,False,UpToDate,,,CUSTOMER_TYPE,VARCHAR,255,,
Shop Ticket,Product_Age Range,Attribute,Product,Product,Age Range,Age Range,Product_Customer Type,,,"1-5, 6-10, 11-16",,,False,False,True,False,False,UpToDate,,,AGE_RANGE,VARCHAR,255,,
Shop Ticket,Product_Customer Gender,Attribute,Product,Product,Customer Gender,Customer Gender,Product_SKU,,The gender the product is targeted to,"Male, female, unisex",,,False,False,False,False,False,UpToDate,,,CUSTOMER_GENDER,VARCHAR,255,,
Shop Ticket,Product_Size,Attribute,Product,Product,Size,Size,Product_SKU,,The size of the product,"S, M, L, XL",,,False,False,False,False,False,UpToDate,,,SIZE,VARCHAR,255,,
Shop Ticket,Product_Color,Attribute,Product,Product,Color,Color,Product_SKU,,The specific color of the product,"Dark blu, light blu",,,False,False,False,False,False,UpToDate,,,COLOR,VARCHAR,255,,
Shop Ticket,Product_Macro Color,Attribute,Product,Product,Macro Color,Macro Color,Product_Color,,A group of colors,"Blu, red",,,False,False,False,False,False,UpToDate,,,MACRO_COLOR,VARCHAR,255,,
Shop Ticket,Product_Brand,Attribute,Product,Product,Brand,Brand,Product_SKU,,The brand of the product,,,,False,False,False,False,False,UpToDate,,,BRAND,VARCHAR,255,,
